,Selling_Price,Present_Price,Kms_Driven,Owner,no_year,Fuel_Type_Diesel,Fuel_Type_Petrol,Seller_Type_Individual,Transmission_Manual
0,3.35,5.59,27000,0,6,0,1,0,1
1,4.75,9.54,43000,0,7,1,0,0,1
2,7.25,9.85,6900,0,3,0,1,0,1
3,2.85,4.15,5200,0,9,0,1,0,1
4,4.6,6.87,42450,0,6,1,0,0,1
5,9.25,9.83,2071,0,2,1,0,0,1
6,6.75,8.12,18796,0,5,0,1,0,1
7,6.5,8.61,33429,0,5,1,0,0,1
8,8.75,8.89,20273,0,4,1,0,0,1
9,7.45,8.92,42367,0,5,1,0,0,1
10,2.85,3.6,2135,0,3,0,1,0,1
11,6.85,10.38,51000,0,5,1,0,0,1
12,7.5,9.94,15000,0,5,0,1,0,0
13,6.1,7.71,26000,0,5,0,1,0,1
14,2.25,7.21,77427,0,11,0,1,0,1
15,7.75,10.79,43000,0,4,1,0,0,1
16,7.25,10.79,41678,0,5,1,0,0,1
17,7.75,10.79,43000,0,4,1,0,0,1
18,3.25,5.09,35500,0,5,0,0,0,1
19,2.65,7.98,41442,0,10,0,1,0,1
20,2.85,3.95,25000,0,4,0,1,0,1
21,4.9,5.71,2400,0,3,0,1,0,1
22,4.4,8.01,50000,0,9,0,1,0,0
23,2.5,3.46,45280,0,6,0,1,0,1
24,2.9,4.41,56879,0,7,0,1,0,1
25,3.0,4.99,20000,0,9,0,1,0,1
26,4.15,5.87,55138,0,7,0,1,0,1
27,6.0,6.49,16200,0,3,0,1,1,1
28,1.95,3.95,44542,0,10,0,1,0,1
29,7.45,10.38,45000,0,5,1,0,0,1
30,3.1,5.98,51439,0,8,1,0,0,1
31,2.35,4.89,54200,0,9,0,1,0,1
32,4.95,7.49,39000,0,6,1,0,0,1
33,6.0,9.95,45000,0,6,1,0,0,1
34,5.5,8.06,45000,0,6,1,0,0,1
35,2.95,7.74,49998,0,9,0,0,0,1
36,4.65,7.2,48767,0,5,0,1,0,1
37,0.35,2.28,127000,0,17,0,1,1,1
38,3.0,3.76,10079,0,4,0,1,0,1
39,2.25,7.98,62000,0,17,0,1,0,1
40,5.85,7.87,24524,0,4,0,1,0,0
41,2.55,3.98,46706,0,6,0,1,0,1
42,1.95,7.15,58000,0,12,0,1,0,1
43,5.5,8.06,45780,0,6,1,0,0,1
44,1.25,2.69,50000,0,8,0,1,0,1
45,7.5,12.04,15000,0,6,0,1,0,0
46,2.65,4.89,64532,0,7,0,1,0,1
47,1.05,4.15,65000,0,14,0,1,0,1
48,5.8,7.71,25870,0,5,0,1,0,1
49,7.75,9.29,37000,0,3,0,1,0,0
50,14.9,30.61,104707,0,8,1,0,0,0
51,23.0,30.61,40000,0,5,1,0,0,0
52,18.0,19.77,15000,0,3,1,0,0,0
53,16.0,30.61,135000,0,7,1,0,1,0
54,2.75,10.21,90000,0,15,0,1,1,1
55,3.6,15.04,70000,0,11,0,1,0,0
56,4.5,7.27,40534,0,5,0,1,0,1
57,4.75,18.54,50000,0,10,0,1,0,1
58,4.1,6.8,39485,1,6,0,1,0,1
59,19.99,35.96,41000,0,6,1,0,0,0
60,6.95,18.61,40001,0,7,0,1,0,1
61,4.5,7.7,40588,0,5,0,1,0,1
62,18.75,35.96,78000,0,6,1,0,0,0
63,23.5,35.96,47000,0,5,1,0,0,0
64,33.0,36.23,6000,0,3,1,0,0,0
65,4.75,6.95,45000,0,6,1,0,0,1
66,19.75,23.15,11000,0,3,0,1,0,0
67,9.25,20.45,59000,0,10,1,0,0,1
68,4.35,13.74,88000,0,9,0,1,0,1
69,14.25,20.91,12000,0,4,0,1,0,1
70,3.95,6.76,71000,0,6,1,0,0,1
71,4.5,12.48,45000,0,9,1,0,0,1
72,7.45,18.61,56001,0,7,0,1,0,1
73,2.65,5.71,43000,0,9,0,1,0,1
74,4.9,8.93,83000,0,6,1,0,0,1
75,3.95,6.8,36000,0,5,0,1,0,1
76,5.5,14.68,72000,0,7,0,1,0,1
77,1.5,12.35,135154,0,16,0,1,0,0
78,5.25,22.83,80000,0,10,0,1,0,0
79,14.5,30.61,89000,0,8,1,0,0,0
80,14.73,14.89,23000,0,4,1,0,0,1
81,4.75,7.85,40000,0,5,1,0,0,1
82,23.0,25.39,15000,0,3,1,0,0,0
83,12.5,13.46,38000,0,5,1,0,0,1
84,3.49,13.46,197176,0,15,1,0,0,1
85,2.5,23.73,142000,3,14,0,1,1,0
86,35.0,92.6,78000,0,10,1,0,0,1
87,5.9,13.74,56000,0,8,0,1,0,1
88,3.45,6.05,47000,0,7,0,1,0,1
89,4.75,6.76,40000,0,6,0,1,0,1
90,3.8,18.61,62000,0,11,0,1,0,1
91,11.25,16.09,58242,0,6,1,0,0,1
92,3.51,13.7,75000,0,15,0,1,0,1
93,23.0,30.61,40000,0,5,1,0,0,0
94,4.0,22.78,89000,0,12,0,1,0,0
95,5.85,18.61,72000,0,8,0,1,0,1
96,20.75,25.39,29000,0,4,1,0,0,0
97,17.0,18.64,8700,0,3,0,1,0,1
98,7.05,18.61,45000,0,7,0,1,0,1
99,9.65,20.45,50024,0,10,1,0,0,1
100,1.75,1.9,3000,0,4,0,1,1,1
101,1.7,1.82,1400,0,3,0,1,1,1
102,1.65,1.78,4000,0,3,0,1,1,1
103,1.45,1.6,1200,0,3,0,1,1,1
104,1.35,1.47,4100,0,3,0,1,1,1
105,1.35,2.37,21700,0,5,0,1,1,1
106,1.35,3.45,16500,1,6,0,1,1,1
107,1.25,1.5,15000,0,7,0,1,1,1
108,1.2,1.5,18000,0,4,0,1,1,1
109,1.2,1.47,11000,0,3,0,1,1,1
110,1.2,1.78,6000,0,4,0,1,1,1
111,1.15,1.5,8700,0,4,0,1,1,1
112,1.15,2.4,7000,0,6,0,1,1,1
113,1.15,1.4,35000,0,4,0,1,1,1
114,1.15,1.47,17000,0,5,0,1,1,1
115,1.11,1.47,17500,0,5,0,1,1,1
116,1.1,1.47,33000,0,7,0,1,1,1
117,1.1,1.9,14000,0,5,0,1,1,1
118,1.1,1.47,26000,0,5,0,1,1,1
119,1.05,1.9,5400,0,7,0,1,1,1
120,1.05,1.26,5700,0,4,0,1,1,1
121,1.05,1.5,6900,0,9,0,1,1,1
122,1.05,1.17,6000,0,4,0,1,1,1
123,1.0,1.47,46500,0,7,0,1,1,1
124,0.95,1.75,11500,0,8,0,1,1,1
125,0.9,1.75,40000,0,11,0,1,1,1
126,0.9,0.95,1300,0,3,0,1,1,1
127,0.75,0.8,7000,0,4,0,1,1,1
128,0.8,0.87,3000,0,3,0,1,1,1
129,0.78,0.84,5000,0,3,0,1,1,1
130,0.75,0.87,11000,0,3,0,1,1,1
131,0.75,0.82,18000,0,5,0,1,1,1
132,0.75,0.95,3500,0,3,0,1,1,1
133,0.72,0.95,500,0,4,0,1,1,1
134,0.65,0.81,11800,0,3,0,1,1,1
135,0.65,0.74,5000,0,5,0,1,1,1
136,0.65,1.2,23500,0,6,0,1,1,1
137,0.65,0.787,16000,0,7,0,1,1,1
138,0.6,0.87,15000,0,4,0,1,1,1
139,0.6,0.95,16600,0,5,0,1,1,1
140,0.6,1.2,32000,0,7,0,1,1,1
141,0.6,0.8,20000,0,4,0,1,1,1
142,0.6,0.84,29000,0,5,0,1,1,1
143,0.6,0.84,25000,0,4,0,1,1,1
144,0.6,0.99,25000,0,6,0,1,1,1
145,0.6,0.81,19000,0,8,0,1,1,1
146,0.55,0.787,15000,0,6,0,1,1,1
147,0.55,0.84,58000,0,5,0,1,1,1
148,0.52,0.94,45000,0,10,0,1,1,1
149,0.51,0.94,24000,0,4,0,1,1,1
150,0.5,0.826,6000,0,9,0,1,1,1
151,0.5,0.55,31000,0,4,0,1,1,1
152,0.5,0.99,13000,0,8,0,1,1,1
153,0.5,0.99,45000,0,7,0,1,1,1
154,0.5,0.88,8000,0,6,0,1,1,1
155,0.48,0.51,4300,0,3,0,1,1,0
156,0.48,0.52,15000,0,3,0,1,1,1
157,0.48,0.84,23000,0,5,0,1,1,1
158,0.48,0.54,8600,0,3,0,1,1,1
159,0.45,0.51,4000,0,3,0,1,1,0
160,0.45,0.95,24000,0,9,0,1,1,1
161,0.45,0.826,23000,0,6,0,1,1,1
162,0.45,0.99,14500,0,8,0,1,1,1
163,0.45,0.95,27000,0,10,0,1,1,1
164,0.45,0.54,14000,0,4,0,1,1,1
165,0.45,0.54,500,0,4,0,1,1,0
166,0.45,0.55,1000,0,4,0,1,1,1
167,0.42,0.81,42000,0,6,0,1,1,1
168,0.42,0.73,12000,0,7,0,1,1,1
169,0.4,0.54,14000,0,5,0,1,1,1
170,0.4,0.83,5500,0,8,0,1,1,1
171,0.4,0.55,6700,0,5,0,1,1,1
172,0.4,0.64,13700,0,6,0,1,1,1
173,0.4,0.51,1300,0,3,0,1,1,0
174,0.38,0.72,38600,0,5,0,1,1,1
175,0.38,0.787,75000,0,9,0,1,1,1
176,0.35,1.05,30000,0,9,0,1,1,1
177,0.35,0.57,24000,0,4,0,1,1,0
178,0.35,0.52,19000,0,6,0,1,1,0
179,0.31,1.05,213000,0,10,0,1,1,1
180,0.3,0.51,60000,0,8,0,1,1,1
181,0.3,0.48,50000,0,4,0,1,1,1
182,0.3,0.58,30000,0,7,0,1,1,1
183,0.27,0.47,21000,0,7,0,1,1,1
184,0.25,0.75,26000,1,12,0,1,1,1
185,0.25,0.58,1900,0,12,0,1,1,0
186,0.25,0.52,22000,0,10,0,1,1,0
187,0.25,0.51,32000,0,7,0,1,1,1
188,0.25,0.57,18000,0,7,0,1,1,1
189,0.2,0.57,55000,0,15,0,1,1,1
190,0.2,0.75,60000,0,12,0,1,1,1
191,0.2,0.57,25000,1,8,0,1,1,1
192,0.2,0.75,49000,1,13,0,1,1,1
193,0.2,0.65,24000,1,7,0,1,1,1
194,0.2,0.787,50000,0,12,0,1,1,1
195,0.18,0.32,35000,0,5,0,1,1,1
196,0.17,0.52,500000,0,12,0,1,1,0
197,0.16,0.51,33000,0,10,0,1,1,1
198,0.15,0.57,35000,1,9,0,1,1,1
199,0.12,0.58,53000,0,13,0,1,1,1
200,0.1,0.75,92233,0,14,0,1,1,1
201,3.25,6.79,58000,1,10,1,0,0,1
202,4.4,5.7,28200,0,5,0,1,0,1
203,2.95,4.6,53460,0,9,0,1,0,1
204,2.75,4.43,28282,0,5,0,1,0,1
205,5.25,5.7,3493,1,4,0,1,0,1
206,5.75,7.13,12479,0,3,0,1,0,1
207,5.15,5.7,34797,0,5,0,1,0,0
208,7.9,8.1,3435,0,3,0,1,0,1
209,4.85,5.7,21125,0,5,1,0,0,1
210,3.1,4.6,35775,0,8,0,1,0,1
211,11.75,14.79,43535,0,5,1,0,0,1
212,11.25,13.6,22671,0,4,0,1,0,1
213,2.9,6.79,31604,0,9,0,1,0,1
214,5.25,5.7,20114,0,3,0,1,0,1
215,4.5,9.4,36100,0,8,0,1,0,1
216,2.9,4.43,12500,0,4,0,1,0,1
217,3.15,4.43,15000,0,4,0,1,0,1
218,6.45,9.4,45078,0,6,0,1,0,1
219,4.5,9.4,36000,0,8,0,1,0,1
220,3.5,4.43,38488,0,3,0,1,0,1
221,4.5,6.79,32000,0,7,0,1,0,0
222,6.0,7.6,77632,0,6,1,0,0,1
223,8.25,9.4,61381,0,5,1,0,0,1
224,5.11,9.4,36198,0,7,0,1,0,0
225,2.7,4.6,22517,0,9,0,1,0,1
226,5.25,5.7,24678,0,5,0,1,0,1
227,2.55,4.43,57000,0,9,0,1,0,1
228,4.95,9.4,60000,0,8,1,0,0,1
229,3.1,6.79,52132,0,8,1,0,0,1
230,6.15,9.4,45000,0,7,1,0,0,1
231,9.25,9.4,15001,0,3,0,1,0,1
232,11.45,14.79,12900,0,5,0,1,0,0
233,3.9,5.7,53000,0,7,1,0,0,1
234,5.5,5.7,4492,0,5,0,1,0,1
235,9.1,9.4,15141,0,3,0,1,0,1
236,3.1,4.43,11849,0,4,0,1,0,1
237,11.25,13.6,68000,0,5,1,0,0,1
238,4.8,9.4,60241,0,7,0,1,0,1
239,2.0,4.43,23709,0,8,0,1,0,1
240,5.35,9.4,32322,0,8,1,0,0,1
241,4.75,7.13,35866,1,5,0,1,0,1
242,4.4,7.13,34000,0,6,0,1,0,1
243,6.25,7.6,7000,0,4,0,1,0,1
244,5.95,9.4,49000,0,7,1,0,0,1
245,5.2,9.4,71000,0,8,1,0,0,1
246,3.75,6.79,35000,0,8,0,1,0,1
247,5.95,9.4,36000,0,5,0,1,0,1
248,4.0,4.6,30000,0,7,0,1,0,1
249,5.25,7.6,17000,0,4,0,1,0,1
250,12.9,13.6,35934,0,4,1,0,0,1
251,5.0,9.9,56701,0,7,0,1,0,1
252,5.4,6.82,31427,0,5,0,1,0,0
253,7.2,9.9,48000,0,6,1,0,0,1
254,5.25,9.9,54242,0,7,0,1,0,1
255,3.0,5.35,53675,0,8,0,1,0,1
256,10.25,13.6,49562,0,4,0,1,0,1
257,8.5,13.6,40324,0,5,0,1,0,1
258,8.4,13.6,25000,0,5,0,1,0,1
259,3.9,7.0,36054,0,6,0,1,0,1
260,9.15,13.6,29223,0,4,0,1,0,1
261,5.5,5.97,5600,0,4,0,1,0,1
262,4.0,5.8,40023,0,5,0,1,0,1
263,6.6,7.7,16002,0,4,0,1,0,1
264,4.0,7.0,40026,0,5,0,1,0,1
265,6.5,8.7,21200,0,3,0,1,0,1
266,3.65,7.0,35000,0,6,0,1,0,1
267,8.35,9.4,19434,0,4,1,0,0,1
268,4.8,5.8,19000,0,3,0,1,0,1
269,6.7,10.0,18828,0,5,0,1,0,1
270,4.1,10.0,69341,0,9,0,1,0,1
271,3.0,10.0,69562,0,11,0,1,0,1
272,7.5,10.0,27600,0,5,0,1,0,1
273,2.25,7.5,61203,0,10,0,1,0,1
274,5.3,6.8,16500,0,6,0,1,0,1
275,10.9,13.6,30753,0,4,0,1,0,0
276,8.65,13.6,24800,0,5,0,1,0,1
277,9.7,13.6,21780,0,5,0,1,0,1
278,6.0,8.4,4000,0,4,0,1,0,1
279,6.25,13.6,40126,0,6,0,1,0,1
280,5.25,5.9,14465,0,5,0,1,0,1
281,2.1,7.6,50456,0,14,0,1,0,1
282,8.25,14.0,63000,0,6,1,0,0,1
283,8.99,11.8,9010,0,4,0,1,0,1
284,3.5,5.9,9800,0,7,0,1,0,1
285,7.4,8.5,15059,0,4,0,1,0,0
286,5.65,7.9,28569,0,4,0,1,0,1
287,5.75,7.5,44000,0,5,0,1,0,0
288,8.4,13.6,34000,0,5,0,1,0,1
289,10.11,13.6,10980,0,4,0,1,0,1
290,4.5,6.4,19000,0,6,0,1,0,1
291,5.4,6.1,31427,0,5,0,1,0,1
292,6.4,8.4,12000,0,4,0,1,0,1
293,3.25,9.9,38000,0,10,0,1,0,1
294,3.75,6.8,33019,0,6,0,1,0,1
295,8.55,13.09,60076,0,5,1,0,0,1
296,9.5,11.6,33988,0,4,1,0,0,1
297,4.0,5.9,60000,0,5,0,1,0,1
298,3.35,11.0,87934,0,11,0,1,0,1
299,11.5,12.5,9000,0,3,1,0,0,1
300,5.3,5.9,5464,0,4,0,1,0,1
